StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_Browser,Q2_Version,Q2_Operating System,Q2_Resolution,Q15_1,Q16,Q3_1,Q7_1,Q8,Q9,Q10,Q11,Q12,FL_8_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,What your beliefs about a particular policy? - My beliefs,"Please click answer ""A""",Look at this picture and choose an answer. What are your beliefs about the same particular policy? - My beliefs,What are your beliefs about the same particular policy? - My beliefs,How old are you?,Where are you from?,How often do you use internet?,Did you vote during the last election?,Which candidate/party did you vote for?,FL_8 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_BROWSER""}","{""ImportId"":""QID2_VERSION""}","{""ImportId"":""QID2_OS""}","{""ImportId"":""QID2_RESOLUTION""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""FL_8_DO""}"
2021-07-25 11:03:04,2021-07-25 11:03:04,Survey Test,,100,0,True,2021-07-25 11:03:04,R_6LKfMsN0oMttdJ4,,,,,51.935699462890625,4.4884033203125,test,,sollicitudin,pellentesque,scelerisque,accusamus,38,B,,85,46-55,Netherlands,4-6 times a week,No,,Control
2021-07-25 11:03:04,2021-07-25 11:03:04,Survey Test,,100,0,True,2021-07-25 11:03:04,R_3JjFste0r7VSKay,,,,,51.935699462890625,4.4884033203125,test,,ridiculus,curabitur,pellentesque,sollicitudin,64,C,,74,36-45,Others,4-6 times a week,No,,Control
2021-07-25 11:03:04,2021-07-25 11:03:04,Survey Test,,100,0,True,2021-07-25 11:03:04,R_5nV37Nmbv427TqS,,,,,51.935699462890625,4.4884033203125,test,,elementum,dignissim,suspendisse,ullamcorper,34,B,47,,36-45,Netherlands,Never,Yes,Right-wing,Treatment1
2021-07-25 11:03:04,2021-07-25 11:03:04,Survey Test,,100,0,True,2021-07-25 11:03:04,R_a44RwzqTMM0ZIYS,,,,,51.935699462890625,4.4884033203125,test,,suspendisse,temporibus,vulputate,curabitur,44,C,96,,56 or older,Netherlands,Daily,No,,Treatment1
2021-07-25 11:03:05,2021-07-25 11:03:05,Survey Test,,100,0,True,2021-07-25 11:03:05,R_7PzgZBUyAPLNnDM,,,,,51.935699462890625,4.4884033203125,test,,consequat,imperdiet,phasellus,ultricies,82,B,22,,56 or older,Others,2-3 times a week,No,,Treatment1
2021-07-25 11:03:05,2021-07-25 11:03:05,Survey Test,,100,0,True,2021-07-25 11:03:05,R_5nnyUBIZ32cEMIu,,,,,51.935699462890625,4.4884033203125,test,,porttitor,vulputate,fringilla,ridiculus,23,C,79,,25-35,Netherlands,Never,No,,Treatment1
2021-07-25 11:03:05,2021-07-25 11:03:05,Survey Test,,100,0,True,2021-07-25 11:03:05,R_8eRUVH0fzMKcuQS,,,,,51.935699462890625,4.4884033203125,test,,tincidunt,vestibulum,accusamus,vulputate,85,B,,57,36-45,Netherlands,Never,No,,Control
2021-07-25 11:03:05,2021-07-25 11:03:05,Survey Test,,100,0,True,2021-07-25 11:03:05,R_3OARnc9ZXqULc7s,,,,,51.935699462890625,4.4884033203125,test,,porttitor,venenatis,accusamus,tincidunt,94,C,74,,18 or younger,Netherlands,4-6 times a week,No,,Treatment1
2021-07-25 11:03:05,2021-07-25 11:03:05,Survey Test,,100,0,True,2021-07-25 11:03:05,R_cBcYKlFDWjnBJyK,,,,,51.935699462890625,4.4884033203125,test,,porttitor,pellentesque,vestibulum,scelerisque,4,A,24,,46-55,Netherlands,Never,No,,Treatment1
